ADDRESS,ADDID,REFERENCEF,FOLDERNAME,FOLDERYEAR,FOLDERSEQU,PROPERTYLO,FOLDERDESC,REFERENCEF,INDATE,FOLDERTYPE,SUBDESC,WORKDESC,STATUSDESC,FOLDERDE_1,PROPERTYRS,PROPGISID1,ROUTECODE,USERNAME,EMAILADDRE,ORGANIZATI,NAMEFIRST,NAMELAST,WARD,MUNICIPALITY
121 SILVERCREEK PKY N,32125,336748,111-193 Silvercreek Parkway N,16,5765,PLAN 568 LOT 181 TO LOT 203 PT LOT 180 PT LOT 204,Site Plan Approval,SP16C040,03/05/2017,SP,COMMERCIAL,ADDITION,Open,New restaurant with drive-through,23440,32125,0,Ryan Mallory,Ryan.Mallory@guelph.ca,Spears & Associates Inc.,,,3,City of Guelph
201 WOODLAWN RD W,11589,340758,201 Woodlawn Road W,16,8705,DIV D CON 4 PT LOTS 123 RP 61R4151 PART 1 PART 8 PART 10 PART 10,Site Plan Approval,SP16B054,21/04/2017,SP,INDUSTRIAL,ALTERATION,Open,Parking lot expansion,24209,11589,3,Ryan Mallory,Ryan.Mallory@guelph.ca,Tacoma Engineers Inc.,,,3,City of Guelph
206 SPEEDVALE AVE W,31037,344637,206 Speedvale Avenue W,17,3311,PLAN 596 LOT 8,Site Plan Approval,SP17C020,26/05/2017,SP,COMMERCIAL,ALTERATION,Open,Addition of Gas Bar,23694,31037,3,,,PetroMaxx Construction ON LLP,,,3,City of Guelph
222 SPEEDVALE AVE W,10410,333741,222 Speedvale Avenue W,16,2916,PLAN 596 LOT 14,Site Plan Approval,SP16C017,15/03/2017,SP,COMMERCIAL,ALTERATION,Open,Addition to Existing Lube Shop and a New 2 Bay Car Wash,23721,10410,3,Ryan Mallory,Ryan.Mallory@guelph.ca,Cotton Project Coordinators,,,3,City of Guelph
265 EDINBURGH RD N,11120,331444,265 Edinburgh Road N,16,762,"Part lots 4, 5, 6 & 7, Range 4, Division A, designated as Part 1, Reference Plan 61R-20620",Site Plan Approval,SP16C002,13/07/2017,SP,COMMERCIAL,NEW,Open,Development of new commercial buildings,84467,11120,3,Ryan Mallory,Ryan.Mallory@guelph.ca,Spec Construction Inc.,,,3,City of Guelph
360 WOOLWICH ST,28360,309878,360 Woolwich St,14,3997,PLAN 38 PT LOT 17,Zoning Amendment,ZC1407,03/05/2017,ZC,,MAJOR,Open,To permit a proposed addition of 6 residential apartment units along Mont Street together with existing office and residential space within the existing building at 360 Woolwich Street. Note: Under Appeal.,17882,28360,3,Chris DeVriendt,chris.devriendt@guelph.ca,J. David McAuley Architects Inc.,,,3,City of Guelph
546 WOOLWICH ST,4452,340874,546 Woolwich Street,16,8818,PLAN 251 PT LOTS 1 & 2 PLAN 148 PT LOT 27,Site Plan Approval,SP16C057,03/05/2017,SP,COMMERCIAL,ALTERATION,Open,New 3-pump gas bar,18248,4452,3,Ryan Mallory,Ryan.Mallory@guelph.ca,n Architecture Inc.,,,3,City of Guelph
816 WOOLWICH ST,4008,303456,816 Woolwich St,14,729,PLAN 169 PT LOT 6 PT LOT 7,Zoning Amendment,ZC1402,26/04/2017,ZC,,MAJOR,Open,To permit a mixed use residential and commercial development.,19997,4008,3,Lindsay Sulatycki,Lindsay.Sulatycki@guelph.ca,"Black, Shoemaker, Robinson & Donaldson Limited",,,3,City of Guelph
89 BEECHWOOD AVE,15243,346198,89 Beechwood Avenue,17,4811,DIV A PT LOT 21,Zoning Amendment,ZC1706,20/07/2017,ZC,,MAJOR,Open,To permit the development of 34 residential townhouse units.,32663,15243,3,,,MHBC Planning,Pierre,Chauvin,3,City of Guelph
1 STEVENSON ST N,2816,336280,1 & 15 Stevenson Street N and 8 William Street,16,5328,PLAN 230 PT LOT 38,Zoning Amendment,ZC1613,30/11/2016,ZC,,MINOR,Open,To permit the development of ten single detached dwellings with accessory apartments.,7292,2816,1,Katie Nasswetter,katie.nasswetter@guelph.ca,Van Harten Surveying Inc.,,,1,City of Guelph
