ADDRESS,ADDID,OBJECTID,FOLDERRSN,FOLDERNAME,FOLDERYEAR,FOLDERSEQU,PROPERTYLO,FOLDERDESC,REFERENCEF,INDATE,FOLDERTYPE,SUBDESC,WORKDESC,STATUSDESC,FOLDERDE_1,PROPERTYRS,PROPGISID1,ROUTECODE,USERNAME,EMAILADDRE,ORGANIZATI,NAMEFIRST,NAMELAST

0 PAISLEY RD,44147.00000000000,31228,342363,0 Paisley Road,17,001191,"DIV E CON 2 PT LOTS 2 & 3, RP 61R8581 PART 1",Site Plan Approval,SP17A007,02/03/2017,SP,APARTMENT DWELLING,NEW,Open,Residential condominium development,35289,44147,0,Ryan Mallory,Ryan.Mallory@guelph.ca,S R Architecture,,

1 STEVENSON ST N,2816.00000000000,3861,336280,1 & 15 Stevenson Street N and 8 William Street,16,005328,PLAN 230 PT LOT 38,Zoning Amendment,ZC1613,27/07/2016,ZC,,MINOR,Open,To permit the development of ten single detached dwellings with accessory apartments.,7292,2816,1,Katie Nasswetter,katie.nasswetter@guelph.ca,Van Harten Surveying Inc.,,

1 STEVENSON ST N,2816.00000000000,3861,338296,1 Stevenson Street N,16,007186,PLAN 230 PT LOT 38,Condo Approval,23CDM16509,05/10/2016,CD,RESIDENTIAL TOWNHOUSE - CLUSTER,VACANT LAND,Open,Proposed vacant land residential condominium - single detached dwellings,7292,2816,1,Katie Nasswetter,katie.nasswetter@guelph.ca,Van Harten Surveying Inc.,,

1 WILBERT ST,46910.00000000000,42937,341115,1 Wilbert Street,17,000031,"PLAN 61M126 PT BLOCK 8, RP 61R11445, PART 1",Site Plan Approval,SP16C059,20/12/2016,SP,COMMERCIAL,NEW,Open,New car dealership,79583,46910,0,Ryan Mallory,Ryan.Mallory@guelph.ca,"Black, Shoemaker, Robinson & Donaldson Limited",,

10 WILSON ST,36539.00000000000,20440,336805,10 Wilson Street,16,005818,PLAN 8 LOT 121 LOT 122 PT WILSON ST CL PT NORFOLK ST CL PT NORTHUMBERLAND ST CL ST ALLOW,Site Plan Approval,SP16C043,17/08/2016,SP,OTHER,NEW,Open,6 level plus roof parking garage.,399,36539,1,Ryan Mallory,Ryan.Mallory@guelph.ca,The Corporation of the City of Guelph,,

1045 PAISLEY RD,37831.00000000000,5986,329823,1045 Paisley Road,15,009695,PLAN 61M53 BLOCK 1,Zoning Amendment,ZC1515,13/11/2015,ZC,,MINOR,Open,"To permit an increase in GFA on the property municipally known as 963 to 1045 Paisley Road from 20,851 square metres to 25,251 square metres.",58656,37831,4,Lindsay Sulatycki,Lindsay.Sulatycki@guelph.ca,"Walker, Nott, Dragicevic Associates Limited",,

1045 PAISLEY RD,37831.00000000000,5986,329842,1045 Paisley Road,15,009714,PLAN 61M53 BLOCK 1,Official Plan Amendment,OP1502,13/11/2015,OP,OTHER,MINOR,Open,"Proposed Official Plan Amendment application to increase the overall permitted GFA in the Paisley/Imperial Node by 4,400 square metres from 52,600 square metres to 57,000 square metres.",58656,37831,4,Lindsay Sulatycki,Lindsay.Sulatycki@guelph.ca,"Walker, Nott, Dragicevic Associates Limited",,

107 WESTRA DR,49013.00000000000,53134,341823,107 Westra Drive,17,000698,PLAN 61M196 BLOCK 135,Site Plan Approval,SP17A005,01/02/2017,SP,TOWNHOUSE DWELLING,NEW,Open,Stacked townhouse development,83192,49013,4,Ryan Mallory,Ryan.Mallory@guelph.ca,Fusion Homes,,

11 CITYVIEW DR S,21645.00000000000,13214,318852,11 Cityview Dr S,14,000120,PLAN 53 PT LOT 35,Site Plan Approval,SP14A072,22/12/2014,SP,TOWNHOUSE DWELLING,NEW,Open,"Townhouse Development

",2282,21645,1,Ryan Mallory,Ryan.Mallory@guelph.ca,James Fryett Architect Inc.,,

11 WOODLAWN RD W,31132.00000000000,22317,343101,11 Woodlawn Road W,17,001882,"PART LOTS 4, 5, 6 & 7, RP 169, DESIGNATED AS PARTS 2, 4 & 6, 61R9980",Site Plan Approval,SP17C013,28/03/2017,SP,COMMERCIAL,ALTERATION,Open,Accessible parking and new elevations,75157,31132,0,Ryan Mallory,Ryan.Mallory@guelph.ca,Stantec Consulting Ltd.,,

